id,primary_genre
45312,Horror
45310,Comedy
45309,Documentary
45308,Comedy
45306,Comedy
45307,Action
45305,Comedy
45303,Thriller
45304,Documentary
45302,Action
45301,Comedy
45300,Action
45299,Action
45298,Action
45297,Action
45296,Drama
45294,Drama
45295,Action
45293,Crime
45292,Comedy
45291,Drama
45289,Drama
45290,Action
45287,Mystery
45288,Thriller
45286,Drama
45285,Biography
45284,Drama
45283,Comedy
45282,Drama
45281,Drama
45280,Action
45279,Drama
45278,Drama
45277,Drama
45276,Drama
45275,Drama
45274,Thriller
45272,Comedy
45273,Comedy
45271,Thriller
45270,Comedy
45269,Biography
45268,Comedy
45267,Documentary
45266,Drama
45265,Drama
45264,Action
45263,Music
45262,Thriller
45261,Crime
45260,Drama
45259,Documentary
45258,Action
45257,Action
45256,Action
45255,Drama
45254,Action
45253,Comedy
45252,Comedy
45251,Crime
45250,Documentary
45249,Comedy
45248,Drama
45247,Documentary
45246,Comedy
45245,Drama
45244,Drama
45243,Drama
45242,Thriller
45241,Comedy
45240,Action
45239,Horror
45238,Thriller
45237,Action
45236,Crime
45235,Comedy
45234,Action
45233,Drama
45232,Comedy
45231,Comedy
45230,Comedy
45229,Documentary
45228,Drama
45227,Documentary
45226,Documentary
45225,Documentary
45224,Documentary
45223,Documentary
45222,Documentary
45221,Documentary
45220,Sci-Fi
45219,Adventure
45218,Crime
45217,Action
45216,Comedy
45215,Drama
45214,Drama
45213,Adventure
45212,Biography
45211,Drama
45210,Adventure
45209,Horror
45208,Drama
45207,Comedy
45206,Comedy
45205,Drama
45204,Action
45203,Drama
45202,Comedy
45201,Drama
45200,Documentary
45199,Crime
45198,Comedy
45197,Documentary
45196,Documentary
45195,Documentary
45194,Documentary
45193,Drama
45191,Thriller
45192,Documentary
45190,Comedy
45189,Action
45188,Comedy
45187,Crime
45186,Horror
45185,Comedy
45184,Documentary
45183,Drama
45182,Comedy
45181,Music
45180,Animation
45179,Drama
45178,Drama
45177,Horror
45176,Drama
45175,Animation
45174,Comedy
45173,Drama
45172,Action
45171,Documentary
45170,Drama
45169,Drama
45168,Documentary
45167,Documentary
45166,Drama
45165,Fantasy
45164,Comedy
45163,Drama
45162,Adventure
45161,Horror
45160,Comedy
45159,Horror
45158,Documentary
45157,Drama
45156,Drama
45155,Drama
45154,Crime
45153,Drama
45152,Crime
45151,Documentary
45150,Action
45149,Drama
45148,Documentary
45147,Documentary
45146,Action
45145,Comedy
45144,Biography
45143,Comedy
45142,Crime
45141,Adventure
45140,Comedy
45139,Comedy
45138,Comedy
45137,Horror
45136,Comedy
45135,Drama
45134,Crime
45133,Action
45132,Action
45131,Drama
45130,Action
45129,Drama
45128,Drama
45127,Drama
45126,Comedy
45125,Drama
45124,Drama
45123,Documentary
45122,Documentary
45121,Documentary
45120,Horror
45119,Drama
45118,Adventure
45117,Drama
45116,Documentary
45115,Drama
45114,Drama
45113,Drama
45112,Drama
45111,Crime
45110,Comedy
45109,Action
45108,Drama
45107,Crime
45106,Documentary
45105,News
45104,Drama
45103,Crime
45102,Documentary
45101,Documentary
45100,Documentary
45099,Reality-TV
45098,Action
45097,Reality-TV
45096,Drama
45095,Adventure
45094,Drama
45093,Adventure
45092,Action
45091,Action
45090,Thriller
45089,Drama
45088,Crime
45087,Comedy
45086,Action
45085,Horror
45084,Drama
45083,Documentary
45082,Crime
45081,Action
45080,Sci-Fi
45079,Comedy
45078,Action
45077,Crime
45076,Drama
45075,Action
45074,Comedy
45073,Drama
45072,Drama
45071,Comedy
45070,Drama
45069,Comedy
45068,Crime
45067,Adventure
45066,Drama
45065,Drama
45064,Comedy
45063,Drama
45062,Drama
45061,Comedy
45060,Comedy
45059,Drama
45058,Drama
45057,Action
45056,Drama
45055,Crime
45054,Documentary
45053,Comedy
45052,Action
45051,Comedy
45050,Comedy
45049,Documentary
45048,Drama
45047,Documentary
45046,Documentary
45045,Drama
45044,Action
45043,Drama
45042,Biography
45041,Action
45040,Comedy
45039,Comedy
45038,Comedy
45037,Action
45036,Comedy
45035,Drama
45034,Action
45033,Documentary
45032,Drama
45031,Adventure
45030,Drama
45029,Crime
45028,Documentary
45027,Horror
45026,Documentary
45025,Comedy
45024,Action
45023,Action
45022,Comedy
45021,Action
45020,Drama
45019,Action
45018,Horror
45017,Comedy
45016,Horror
45015,Comedy
45014,Action
45013,Action
45012,Documentary
45011,Family
45010,Biography
45009,Comedy
45008,Drama
45007,Comedy
45006,Animation
45005,Documentary
45004,Adventure
45003,Romance
45002,Drama
45001,Comedy
45000,Drama
44999,Comedy
44998,Comedy
44997,Drama
44996,Action
44995,Drama
44994,Drama
44993,Drama
44992,Sci-Fi
44991,Drama
44990,Romance
44989,Documentary
44988,Mystery
44987,Documentary
44986,Family
44985,Romance
44984,Drama
44983,Action
44982,Crime
44981,Action
44980,Crime
44979,Action
44978,Action
44977,Drama
44976,Drama
44975,Action
44974,Documentary
44973,Comedy
44972,Horror
44971,Action
44970,Documentary
44969,Action
44968,Comedy
44967,Action
44966,Documentary
44965,Action
44964,Documentary
44963,Documentary
44962,Documentary
44961,Adventure
44960,Crime
44959,Drama
44958,Drama
44957,Comedy
44956,Documentary
44955,Documentary
44954,Documentary
44953,Documentary
44952,Documentary
44951,Documentary
44950,Documentary
44949,Action
44948,Crime
44947,Documentary
44946,Adventure
44945,Action
44944,Drama
44943,Music
44942,Action
44941,Comedy
44940,Drama
44939,Drama
44938,Action
44937,Documentary
44936,Drama
44935,Action
44934,Action
44933,Drama
44932,Action
44931,Drama
44930,Drama
44929,Drama
44928,Family
44927,Drama
44926,Biography
44925,Biography
44924,Adventure
44923,Comedy
44922,Comedy
44921,Comedy
44920,Action
44919,Drama
44918,Romance
44916,Reality-TV
44915,Adventure
44914,Biography
44913,Western
44910,Family
44911,Drama
44909,Horror
44906,Comedy
44907,Action
44908,Action
44905,Documentary
44904,Family
44900,Family
44901,Romance
44902,Biography
44903,Drama
44899,Action
44898,Crime
44897,Comedy
44896,Action
44894,Drama
44893,Action
44892,Documentary
44891,Comedy
44890,Adventure
44885,Documentary
44886,Comedy
44887,Romance
44888,Romance
44889,Drama
44884,Documentary
44883,Comedy
44882,Adventure
44880,Animation
44881,Comedy
44879,Action
44878,Sci-Fi
44877,Comedy
44874,Drama
44875,Drama
44876,Animation
44872,Animation
44873,Comedy
44871,Crime
44869,Comedy
44870,Comedy
44868,Comedy
44867,Documentary
44866,Drama
44865,Comedy
44864,Adventure
44863,Animation
44862,Drama
44861,Family
44860,Documentary
44859,Documentary
44858,Comedy
44857,Drama
44856,Comedy
44855,Documentary
44852,Drama
44853,Documentary
44854,Comedy
44851,Documentary
44850,Drama
44849,Documentary
44848,Documentary
44847,Drama
44846,Drama
44845,Drama
44844,Drama
44843,Action
44841,Action
44840,Action
44839,Drama
44837,Drama
44838,Drama
44836,Comedy
44835,Comedy
44833,Drama
44834,Documentary
44832,Documentary
44829,Drama
44830,Comedy
44831,Drama
44828,Documentary
44827,Comedy
44826,Action
44825,Crime
44824,Action
44823,Animation
44822,Action
44821,Thriller
44820,Horror
44819,Comedy
44818,Drama
44817,Documentary
44816,Adventure
44815,Adventure
44814,Action
44813,Comedy
44812,Documentary
44810,Crime
44811,Documentary
44807,Drama
44808,Action
44809,Drama
44805,Drama
44806,Comedy
44803,Comedy
44804,Action
44801,Drama
44802,Documentary
44800,Comedy
44798,Comedy
44799,Comedy
44797,Comedy
44796,Comedy
44794,Comedy
44795,Comedy
44793,Comedy
44792,Comedy
44791,Comedy
44790,Comedy
44789,Comedy
44788,Comedy
44787,Horror
44785,Drama
44786,Horror
44784,Animation
44783,Horror
44782,Action
44781,Action
44780,Comedy
44779,Comedy
44778,Action
44777,Thriller
44775,Crime
44776,Comedy
44774,Drama
44773,Drama
44772,Comedy
44771,Comedy
44770,Drama
44768,Drama
44769,Action
44766,Drama
44767,Comedy
44765,Drama
44764,Action
44763,Action
44762,Action
44760,Drama
44761,Thriller
44759,Action
44757,Horror
44758,Comedy
44754,Thriller
44755,Drama
44756,Crime
44750,Drama
44751,Drama
44752,Drama
44753,Drama
44749,Drama
44745,Biography
44746,Drama
44747,Drama
44748,Action
44744,Documentary
44743,Comedy
44742,Documentary
44741,Documentary
44740,Documentary
44739,Comedy
44737,Adventure
44738,Comedy
44736,Drama
44735,Comedy
44734,Documentary
44733,Action
44732,Animation
44731,Drama
44730,Drama
44729,Mystery
44728,Comedy
44727,Action
44726,Comedy
44725,Drama
44723,Mystery
44724,Action
44722,Comedy
44721,Drama
44720,Drama
44719,Comedy
44718,Action
44717,Documentary
44715,Comedy
44716,Horror
44712,Drama
44713,Western
44714,Comedy
44710,Biography
44711,Adventure
44709,Action
44708,Animation
44707,Thriller
44705,Documentary
44706,Documentary
44704,Action
44703,Drama
44702,Drama
44699,Action
44700,Crime
44701,Drama
44698,Comedy
44697,Documentary
44696,Thriller
44695,Comedy
44694,Horror
44693,Comedy
44692,Drama
44691,Horror
44690,Crime
44685,Drama
44686,Comedy
44687,Crime
44688,Crime
44689,Crime
44684,Drama
44683,Crime
44682,Drama
44678,Comedy
44679,Documentary
