movieId,genre
45978,Comedy
45978,Fantasy
45978,Horror
45977,Comedy
45977,Drama
45976,Action
45976,Horror
45975,Comedy
45975,Drama
45974,Family
45973,Comedy
45973,Romance
45972,Biography
45972,Comedy
45972,Documentary
45972,Biography
45972,Comedy
45972,Documentary
45969,Comedy
45969,Crime
45969,Drama
45970,Documentary
45966,Comedy
45966,Horror
45967,Action
45967,Horror
45968,Comedy
45968,Drama
45968,Romance
45965,Comedy
45965,Fantasy
45964,Comedy
45963,Documentary
45962,Documentary
45962,Music
45961,Documentary
45960,Documentary
45960,Sport
45959,Drama
45958,Documentary
45957,Documentary
45956,Crime
45956,Drama
45956,Thriller
45955,Action
45955,Comedy
45955,Drama
45955,Fantasy
45954,Biography
45954,Documentary
45953,Drama
45952,Drama
45952,Thriller
45951,Drama
45951,Musical
45951,War
45949,Drama
45950,Adventure
45950,Western
45948,Thriller
45947,Drama
45947,Mystery
45946,Drama
45945,Comedy
45943,Drama
45943,Horror
45943,Musical
45944,Comedy
45941,Comedy
45941,Drama
45941,Romance
45942,Comedy
45942,Crime
45940,Family
45940,Fantasy
45939,Drama
45938,Crime
45938,Drama
45938,Romance
45938,Thriller
45937,Drama
45936,Drama
45936,Mystery
45933,Comedy
45934,Documentary
45935,Drama
45932,Drama
45932,Thriller
45929,Horror
45930,Drama
45931,Crime
45931,Drama
45928,Comedy
45927,Documentary
45927,Musical
45926,Crime
45926,Drama
45926,Horror
45926,Thriller
45925,Comedy
45925,Crime
45925,Drama
45924,Drama
45923,Documentary
45923,Music
45922,Comedy
45922,Documentary
45921,Comedy
45921,Drama
45921,Family
45921,Romance
45918,Drama
45919,Drama
45919,War
45916,Adventure
45916,Comedy
45916,Drama
45916,Family
45916,Fantasy
45917,Action
45917,Comedy
45917,Thriller
45915,Crime
45915,Drama
45914,Comedy
45914,Romance
45913,Comedy
45913,Drama
45912,Action
45911,Drama
45910,Drama
45909,Western
45908,Drama
45906,Action
45906,Drama
45907,Romance
45904,Comedy
45905,Comedy
45905,Romance
45903,Horror
45903,Thriller
45902,Crime
45902,Drama
45901,Drama
45900,Horror
45899,Drama
45898,Horror
45898,Thriller
45897,Comedy
45897,Crime
45897,Drama
45897,Horror
45897,Mystery
45897,Thriller
45896,Animation
45896,Comedy
45896,Horror
45894,Crime
45894,Documentary
45895,Documentary
45895,Family
45895,Musical
45893,Documentary
45892,Documentary
45890,Comedy
45890,Romance
45891,Romance
45888,Documentary
45888,History
45887,Action
45887,Adventure
45887,History
45886,Drama
45885,Documentary
45885,Music
45884,Biography
45884,Crime
45884,Documentary
45884,History
45883,Documentary
45882,Documentary
45881,Documentary
45881,Drama
45880,Biography
45880,Documentary
45880,Music
45879,Documentary
45879,Sport
45878,Biography
45878,Documentary
45878,History
45877,Drama
45877,Romance
45876,Documentary
45875,Action
45875,Crime
45875,Drama
45874,Action
45874,Thriller
45872,Comedy
45872,Horror
45872,Musical
45872,Romance
45872,Thriller
45873,Drama
45871,Documentary
45871,Family
45870,Documentary
45868,Fantasy
45869,Drama
45869,Romance
45867,Comedy
45867,Drama
45867,Romance
45865,Documentary
45866,Drama
45866,Family
45864,Action
45864,Drama
45864,Fantasy
45863,Documentary
45862,Documentary
45861,Documentary
45860,Action
45860,Documentary
45859,Action
45859,Crime
45859,Drama
45859,Romance
45858,Drama
45858,Romance
45857,Biography
45857,Drama
45857,Music
45857,Romance
45856,Action
45856,Romance
45853,Action
45853,Documentary
45854,Comedy
45855,Romance
45852,Documentary
45851,Documentary
45850,Documentary
45849,Documentary
45849,History
45848,Documentary
45847,Drama
45846,Documentary
45845,Thriller
45844,Documentary
45844,History
45844,War
45843,Drama
45842,Documentary
45841,Documentary
45840,Documentary
45840,History
45840,War
45839,Action
45839,Documentary
45838,Horror
45837,Horror
45836,Drama
45835,Drama
45833,Comedy
45833,Thriller
45834,Biography
45834,Documentary
45834,Sport
45832,Action
45832,Adventure
